 Chi-square deviation of the real and imaginary part
  
 CHISQR   1.6385284111627613E-004
 CHISQI   1.8123449258910417E-004
  
  Real and Imag. coefficients for the S-matrix fit
  No. of coefficients =           40
  
  
 Smat.  fit: 1st column = B (fm)
           : 2nd column = real part of S
           : 3rd column = Gaussian fit of real part
           : 4th column = imaginary part of S
           : 5th column = Gaussian fit of imag. part
  
   6.47     -0.836     -0.836     -0.447     -0.448    
   6.53     -0.840     -0.840     -0.451     -0.452    
   6.60     -0.844     -0.844     -0.455     -0.456    
   6.67     -0.847     -0.847     -0.459     -0.460    
   6.73     -0.849     -0.849     -0.464     -0.464    
   6.80     -0.850     -0.851     -0.469     -0.469    
   6.87     -0.851     -0.852     -0.474     -0.474    
   6.93     -0.852     -0.852     -0.479     -0.478    
   7.00     -0.852     -0.852     -0.484     -0.483    
   7.07     -0.852     -0.852     -0.489     -0.488    
   7.13     -0.851     -0.851     -0.495     -0.493    
   7.20     -0.850     -0.850     -0.500     -0.499    
   7.27     -0.849     -0.849     -0.506     -0.504    
   7.33     -0.847     -0.847     -0.511     -0.510    
   7.40     -0.845     -0.845     -0.517     -0.515    
   7.47     -0.843     -0.843     -0.522     -0.521    
   7.53     -0.841     -0.841     -0.528     -0.527    
   7.60     -0.838     -0.838     -0.533     -0.533    
   7.67     -0.836     -0.836     -0.539     -0.538    
   7.73     -0.833     -0.833     -0.545     -0.544    
   7.80     -0.830     -0.830     -0.550     -0.550    
   7.87     -0.827     -0.827     -0.556     -0.556    
   7.93     -0.824     -0.824     -0.561     -0.561    
   8.00     -0.821     -0.821     -0.566     -0.567    
   8.07     -0.818     -0.817     -0.572     -0.572    
   8.13     -0.814     -0.814     -0.577     -0.578    
   8.20     -0.811     -0.811     -0.582     -0.583    
   8.27     -0.807     -0.807     -0.587     -0.589    
   8.33     -0.804     -0.804     -0.593     -0.594    
   8.40     -0.800     -0.800     -0.598     -0.599    
   8.47     -0.797     -0.797     -0.603     -0.604    
   8.53     -0.793     -0.793     -0.608     -0.609    
   8.60     -0.790     -0.789     -0.613     -0.614    
   8.67     -0.786     -0.786     -0.617     -0.619    
   8.73     -0.782     -0.782     -0.622     -0.623    
   8.80     -0.778     -0.779     -0.627     -0.628    
   8.87     -0.775     -0.775     -0.632     -0.632    
   8.93     -0.771     -0.771     -0.636     -0.637    
   9.00     -0.767     -0.767     -0.641     -0.641    
   9.07     -0.763     -0.764     -0.646     -0.645    
   9.13     -0.760     -0.760     -0.650     -0.650    
   9.20     -0.756     -0.756     -0.654     -0.654    
   9.27     -0.752     -0.752     -0.659     -0.658    
   9.33     -0.748     -0.749     -0.663     -0.662    
   9.40     -0.745     -0.745     -0.667     -0.666    
   9.47     -0.741     -0.741     -0.672     -0.671    
   9.53     -0.737     -0.737     -0.676     -0.675    
   9.60     -0.733     -0.733     -0.680     -0.679    
   9.67     -0.729     -0.729     -0.684     -0.683    
   9.73     -0.726     -0.726     -0.688     -0.687    
   9.80     -0.722     -0.722     -0.692     -0.691    
   9.87     -0.718     -0.718     -0.696     -0.695    
   9.93     -0.714     -0.714     -0.700     -0.699    
   10.0     -0.711     -0.710     -0.704     -0.703    
   10.1     -0.707     -0.706     -0.708     -0.707    
   10.1     -0.703     -0.703     -0.711     -0.711    
   10.2     -0.699     -0.699     -0.715     -0.715    
   10.3     -0.695     -0.695     -0.719     -0.719    
   10.3     -0.692     -0.692     -0.722     -0.722    
   10.4     -0.688     -0.688     -0.726     -0.726    
   10.5     -0.684     -0.684     -0.729     -0.730    
   10.5     -0.681     -0.681     -0.733     -0.733    
   10.6     -0.677     -0.677     -0.736     -0.737    
   10.7     -0.673     -0.673     -0.740     -0.740    
   10.7     -0.669     -0.669     -0.743     -0.744    
   10.8     -0.666     -0.665     -0.746     -0.747    
   10.9     -0.662     -0.662     -0.750     -0.751    
   10.9     -0.658     -0.658     -0.753     -0.754    
   11.0     -0.654     -0.654     -0.756     -0.757    
   11.1     -0.651     -0.651     -0.759     -0.760    
   11.1     -0.647     -0.647     -0.762     -0.763    
   11.2     -0.643     -0.643     -0.765     -0.766    
   11.3     -0.640     -0.640     -0.769     -0.770    
   11.3     -0.636     -0.636     -0.771     -0.772    
   11.4     -0.632     -0.633     -0.775     -0.775    
   11.5     -0.629     -0.629     -0.778     -0.778    
   11.5     -0.625     -0.626     -0.780     -0.781    
   11.6     -0.622     -0.622     -0.783     -0.784    
   11.7     -0.618     -0.618     -0.786     -0.787    
   11.7     -0.615     -0.615     -0.789     -0.789    
   11.8     -0.611     -0.611     -0.792     -0.792    
   11.9     -0.607     -0.607     -0.795     -0.795    
   11.9     -0.604     -0.604     -0.797     -0.797    
   12.0     -0.600     -0.600     -0.800     -0.800    
   12.1     -0.596     -0.596     -0.803     -0.802    
   12.1     -0.593     -0.593     -0.805     -0.805    
   12.2     -0.589     -0.589     -0.808     -0.807    
   12.3     -0.586     -0.586     -0.811     -0.810    
   12.3     -0.582     -0.582     -0.813     -0.812    
   12.4     -0.579     -0.579     -0.816     -0.815    
   12.5     -0.575     -0.575     -0.818     -0.817    
   12.5     -0.572     -0.572     -0.820     -0.820    
   12.6     -0.568     -0.568     -0.823     -0.822    
   12.7     -0.564     -0.564     -0.826     -0.825    
   12.7     -0.561     -0.561     -0.828     -0.827    
   12.8     -0.558     -0.558     -0.830     -0.829    
   12.9     -0.554     -0.554     -0.833     -0.832    
   12.9     -0.551     -0.551     -0.835     -0.834    
   13.0     -0.547     -0.547     -0.837     -0.836    
   13.1     -0.544     -0.543     -0.839     -0.839    
   13.1     -0.540     -0.540     -0.841     -0.841    
   13.2     -0.537     -0.537     -0.844     -0.843    
   13.3     -0.533     -0.533     -0.846     -0.846    
   13.3     -0.530     -0.530     -0.848     -0.848    
   13.4     -0.527     -0.526     -0.850     -0.850    
   13.5     -0.523     -0.523     -0.852     -0.852    
   13.5     -0.520     -0.520     -0.854     -0.854    
   13.6     -0.516     -0.516     -0.856     -0.857    
   13.7     -0.513     -0.513     -0.858     -0.859    
   13.7     -0.510     -0.510     -0.860     -0.861    
   13.8     -0.506     -0.506     -0.862     -0.863    
   13.9     -0.503     -0.503     -0.864     -0.865    
   13.9     -0.500     -0.500     -0.866     -0.867    
   14.0     -0.496     -0.496     -0.868     -0.869    
   14.1     -0.493     -0.493     -0.870     -0.871    
   14.1     -0.490     -0.490     -0.872     -0.873    
   14.2     -0.486     -0.486     -0.874     -0.875    
   14.3     -0.483     -0.483     -0.876     -0.876    
   14.3     -0.480     -0.480     -0.877     -0.878    
   14.4     -0.476     -0.477     -0.879     -0.880    
   14.5     -0.473     -0.473     -0.881     -0.882    
   14.5     -0.470     -0.470     -0.883     -0.883    
   14.6     -0.467     -0.467     -0.884     -0.885    
   14.7     -0.463     -0.463     -0.886     -0.887    
   14.7     -0.460     -0.460     -0.888     -0.888    
   14.8     -0.457     -0.457     -0.889     -0.890    
   14.9     -0.454     -0.454     -0.891     -0.892    
   14.9     -0.451     -0.451     -0.893     -0.893    
   15.0     -0.447     -0.447     -0.894     -0.895    
   15.1     -0.444     -0.444     -0.896     -0.896    
   15.1     -0.441     -0.441     -0.897     -0.898    
   15.2     -0.438     -0.438     -0.899     -0.899    
   15.3     -0.434     -0.435     -0.901     -0.901    
   15.3     -0.432     -0.432     -0.902     -0.902    
   15.4     -0.428     -0.428     -0.904     -0.903    
   15.5     -0.425     -0.425     -0.905     -0.905    
   15.5     -0.422     -0.422     -0.907     -0.906    
   15.6     -0.419     -0.419     -0.908     -0.908    
   15.7     -0.416     -0.416     -0.910     -0.909    
   15.7     -0.413     -0.413     -0.911     -0.910    
   15.8     -0.410     -0.410     -0.912     -0.912    
   15.9     -0.406     -0.406     -0.914     -0.913    
   15.9     -0.403     -0.403     -0.915     -0.914    
   16.0     -0.400     -0.400     -0.916     -0.916    
   16.1     -0.397     -0.397     -0.918     -0.917    
   16.1     -0.394     -0.394     -0.919     -0.918    
   16.2     -0.391     -0.391     -0.920     -0.920    
   16.3     -0.388     -0.388     -0.922     -0.921    
   16.3     -0.385     -0.385     -0.923     -0.922    
   16.4     -0.382     -0.382     -0.924     -0.924    
   16.5     -0.379     -0.379     -0.925     -0.925    
   16.5     -0.376     -0.376     -0.927     -0.926    
   16.6     -0.373     -0.373     -0.928     -0.927    
   16.7     -0.370     -0.370     -0.929     -0.929    
   16.7     -0.367     -0.367     -0.930     -0.930    
   16.8     -0.364     -0.364     -0.931     -0.931    
   16.9     -0.361     -0.361     -0.933     -0.932    
   16.9     -0.358     -0.358     -0.934     -0.934    
   17.0     -0.355     -0.355     -0.935     -0.935    
   17.1     -0.352     -0.352     -0.936     -0.936    
   17.1     -0.349     -0.349     -0.937     -0.937    
   17.2     -0.346     -0.346     -0.938     -0.938    
   17.3     -0.343     -0.343     -0.939     -0.940    
   17.3     -0.341     -0.341     -0.940     -0.941    
   17.4     -0.337     -0.337     -0.941     -0.942    
   17.5     -0.334     -0.334     -0.942     -0.943    
   17.5     -0.332     -0.332     -0.943     -0.944    
   17.6     -0.329     -0.329     -0.944     -0.945    
   17.7     -0.326     -0.326     -0.945     -0.946    
   17.7     -0.323     -0.323     -0.946     -0.947    
   17.8     -0.320     -0.320     -0.947     -0.948    
   17.9     -0.317     -0.317     -0.948     -0.949    
   17.9     -0.315     -0.315     -0.949     -0.950    
   18.0     -0.312     -0.312     -0.950     -0.951    
   18.1     -0.309     -0.309     -0.951     -0.952    
   18.1     -0.306     -0.306     -0.952     -0.953    
   18.2     -0.303     -0.303     -0.953     -0.954    
   18.3     -0.300     -0.300     -0.954     -0.954    
   18.3     -0.298     -0.298     -0.955     -0.955    
   18.4     -0.295     -0.295     -0.956     -0.956    
   18.5     -0.292     -0.292     -0.956     -0.957    
   18.5     -0.289     -0.289     -0.957     -0.957    
   18.6     -0.286     -0.287     -0.958     -0.958    
   18.7     -0.284     -0.284     -0.959     -0.959    
   18.7     -0.281     -0.281     -0.960     -0.960    
   18.8     -0.278     -0.278     -0.961     -0.960    
   18.9     -0.275     -0.275     -0.961     -0.961    
   18.9     -0.273     -0.273     -0.962     -0.962    
   19.0     -0.270     -0.270     -0.963     -0.962    
   19.1     -0.267     -0.267     -0.964     -0.963    
   19.1     -0.265     -0.265     -0.964     -0.964    
   19.2     -0.262     -0.262     -0.965     -0.964    
   19.3     -0.259     -0.259     -0.966     -0.965    
   19.3     -0.257     -0.257     -0.967     -0.966    
   19.4     -0.254     -0.254     -0.967     -0.966    
   19.5     -0.251     -0.251     -0.968     -0.967    
   19.5     -0.249     -0.249     -0.969     -0.968    
   19.6     -0.246     -0.246     -0.969     -0.969    
   19.7     -0.243     -0.243     -0.970     -0.970    
   19.7     -0.241     -0.241     -0.971     -0.971    
   19.8     -0.238     -0.238     -0.971     -0.972    
   19.9     -0.235     -0.235     -0.972     -0.973    
   19.9     -0.233     -0.233     -0.973     -0.974    
   20.0     -0.230     -0.230     -0.973     -0.975    
