Reference Number = 5501 Incident Particle: proton   Target: Z= 82 A= 208 Ef = -5.903
En(MeV)     DWV    DWV(symm)     DW>      DW<      DWvso      Vv        Vhf      Vdisp    VHFder     DWVder    T12der   DVSder  +   DWS   =   Vs
  5.000    2.731     2.731     0.000     0.000    -0.210    56.820    54.089     2.731     0.000    -0.000     0.000     0.000     4.685     4.685
